f,radius,time,bitstring_count
0.062500,5,0.007123,23
0.062500,5,0.032372,26
0.062500,5,0.008813,16
0.062500,5,0.006852,20
0.062500,5,0.013490,27
0.062500,5,0.007119,27
0.062500,5,0.006948,14
0.062500,5,0.006966,26
0.062500,5,0.007628,27
0.062500,5,0.006597,13
0.062500,5,0.007372,25
0.062500,5,0.023761,22
0.062500,5,0.007422,18
0.062500,5,0.007114,26
0.062500,5,0.007201,25
0.062500,5,0.026872,16
0.062500,5,0.006718,17
0.062500,5,0.007736,26
0.062500,5,0.007186,22
0.062500,5,0.008559,23
0.062500,5,0.007230,26
0.062500,5,0.037740,26
0.062500,5,0.007166,23
0.062500,5,0.007606,24
0.062500,5,0.007045,15
0.062500,5,0.007433,30
0.062500,5,0.007948,14
0.062500,5,0.007322,26
0.062500,5,0.007012,17
0.062500,5,0.007731,25
0.062500,5,0.007045,21
0.062500,5,0.006447,16
0.062500,5,0.007428,25
0.062500,5,0.006581,16
0.062500,5,0.006772,14
0.062500,5,0.007090,22
0.062500,5,0.006812,20
0.062500,5,0.006835,13
0.062500,5,0.007176,21
0.062500,5,0.006740,16
0.062500,5,0.007302,25
0.062500,5,0.006523,16
0.062500,5,0.006890,16
0.062500,5,0.008023,27
0.062500,5,0.006999,26
0.062500,5,0.006717,15
0.062500,5,0.007270,28
0.062500,5,0.020434,15
0.062500,5,0.007242,18
0.062500,5,0.006620,17
0.062500,5,0.012942,27
0.062500,5,0.006553,15
0.062500,5,0.013648,23
0.062500,5,0.006780,18
0.062500,5,0.006762,17
0.062500,5,0.006757,17
0.062500,5,0.007238,26
0.062500,5,0.006602,15
0.062500,5,0.006932,16
0.062500,5,0.007152,25
0.062500,5,0.006610,16
0.062500,5,0.007244,25
0.062500,5,0.020882,31
0.062500,5,0.007242,26
0.062500,5,0.006544,16
0.062500,5,0.006398,14
0.062500,5,0.007355,23
0.062500,5,0.007243,26
0.062500,5,0.007786,23
0.062500,5,0.007341,27
0.062500,5,0.007292,18
0.062500,5,0.007067,26
0.062500,5,0.007516,26
0.062500,5,0.010539,15
0.062500,5,0.007046,22
0.062500,5,0.007243,27
0.062500,5,0.006949,16
0.062500,5,0.007615,26
0.062500,5,0.008176,22
0.062500,5,0.007292,24
0.062500,5,0.008276,23
0.062500,5,0.007640,27
0.062500,5,0.018156,27
0.062500,5,0.008077,24
0.062500,5,0.007325,14
0.062500,5,0.006820,22
0.062500,5,0.006610,14
0.062500,5,0.020591,25
0.062500,5,0.006716,17
0.062500,5,0.006966,22
0.062500,5,0.007261,26
0.062500,5,0.016535,25
0.062500,5,0.006606,17
0.062500,5,0.007299,16
0.062500,5,0.008082,25
0.062500,5,0.008250,26
0.062500,5,0.007410,23
0.062500,5,0.014715,23
0.000000,5,0.033272,291
0.000000,5,0.030712,271
0.000000,5,0.076127,514
0.000000,5,0.033490,292
0.000000,5,0.036982,308
0.000000,5,0.038375,326
0.000000,5,0.044150,305
0.000000,5,0.059278,291
0.000000,5,0.033909,298
0.000000,5,0.032150,284
0.000000,5,0.033118,292
0.000000,5,0.030994,276
0.000000,5,0.053698,302
0.000000,5,0.055148,256
0.000000,5,0.044606,361
0.000000,5,0.030581,272
0.000000,5,0.033382,291
0.000000,5,0.031865,279
0.000000,5,0.035967,311
0.000000,5,0.035130,305
0.000000,5,0.051665,267
0.000000,5,0.026060,242
0.000000,5,0.033685,295
0.000000,5,0.030624,274
0.000000,5,0.027988,258
0.000000,5,0.027351,253
0.000000,5,0.038155,317
0.000000,5,0.044174,359
0.000000,5,0.035583,305
0.000000,5,0.027877,256
0.000000,5,0.038061,319
0.000000,5,0.032987,292
0.000000,5,0.026374,244
0.000000,5,0.037675,285
0.000000,5,0.030738,275
0.000000,5,0.035427,294
0.000000,5,0.032215,275
0.000000,5,0.028863,259
0.000000,5,0.049824,375
0.000000,5,0.029509,265
0.000000,5,0.025631,240
0.000000,5,0.029880,268
0.000000,5,0.034029,300
0.000000,5,0.029958,270
0.000000,5,0.037438,320
0.000000,5,0.033287,291
0.000000,5,0.028959,252
0.000000,5,0.033846,296
0.000000,5,0.034101,297
0.000000,5,0.035920,309
0.000000,5,0.045326,365
0.000000,5,0.031017,278
0.000000,5,0.034763,302
0.000000,5,0.034256,297
0.000000,5,0.032203,284
0.000000,5,0.047443,349
0.000000,5,0.031850,282
0.000000,5,0.035279,306
0.000000,5,0.031508,280
0.000000,5,0.030920,278
0.000000,5,0.037936,320
0.000000,5,0.033176,293
0.000000,5,0.030900,275
0.000000,5,0.032604,292
0.000000,5,0.043522,352
0.000000,5,0.035085,284
0.000000,5,0.030740,275
0.000000,5,0.032272,282
0.000000,5,0.027131,250
0.000000,5,0.031577,279
0.000000,5,0.027514,251
0.000000,5,0.035953,310
0.000000,5,0.036277,311
0.000000,5,0.029155,265
0.000000,5,0.033397,288
0.000000,5,0.035739,304
0.000000,5,0.026914,249
0.000000,5,0.033658,296
0.000000,5,0.030323,269
0.000000,5,0.030470,274
0.000000,5,0.028101,255
0.000000,5,0.031239,278
0.000000,5,0.030072,268
0.000000,5,0.033256,292
0.000000,5,0.034575,299
0.000000,5,0.028210,260
0.000000,5,0.032776,288
0.000000,5,0.026158,242
0.000000,5,0.031855,274
0.000000,5,0.030959,275
0.000000,5,0.036724,315
0.000000,5,0.026618,246
0.000000,5,0.032409,287
0.000000,5,0.031790,281
0.000000,5,0.033150,291
0.000000,5,0.033965,300
0.000000,5,0.028138,258
0.000000,5,0.031948,282
0.000000,5,0.057312,431
0.000000,5,0.031298,279
1.000000,10,0.005964,4
1.000000,10,0.006284,2
1.000000,10,0.005905,6
1.000000,10,0.005976,4
1.000000,10,0.006570,4
1.000000,10,0.005943,4
1.000000,10,0.006206,4
1.000000,10,0.006276,5
1.000000,10,0.005980,4
1.000000,10,0.005981,4
1.000000,10,0.005968,4
1.000000,10,0.005963,4
1.000000,10,0.006073,4
1.000000,10,0.006121,2
1.000000,10,0.005988,4
1.000000,10,0.006041,4
1.000000,10,0.005864,2
1.000000,10,0.005924,4
1.000000,10,0.006047,4
1.000000,10,0.005987,4
1.000000,10,0.006016,4
